,region,edad_ingreso,egreso_em,prom_lem,tipo_estudio,tipo_colegio,genero,año_ingreso,codigo_carrera,tipo_renuncia,año,semestre,nombre_carrera
17,VIII - BIO-BIO,26,2010,5.5,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2021,1,Ingenieria en Informatica
18,VIII - BIO-BIO,26,2010,5.5,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2021,2,Ingenieria en Informatica
19,VIII - BIO-BIO,26,2010,5.5,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2022,1,Ingenieria en Informatica
20,VIII - BIO-BIO,26,2010,5.5,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2022,2,Ingenieria en Informatica
21,VIII - BIO-BIO,30,2010,5.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
22,VIII - BIO-BIO,20,2019,6.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
23,VIII - BIO-BIO,26,2012,5.8,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2021,1,Ingenieria en Informatica
24,VIII - BIO-BIO,30,2010,5.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,2,Ingenieria en Informatica
25,VIII - BIO-BIO,20,2019,6.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,2,Ingenieria en Informatica
26,VIII - BIO-BIO,26,2012,5.8,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2021,2,Ingenieria en Informatica
27,VIII - BIO-BIO,20,2019,6.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,1,Ingenieria en Informatica
28,VIII - BIO-BIO,30,2010,5.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,1,Ingenieria en Informatica
29,VIII - BIO-BIO,26,2012,5.8,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2022,1,Ingenieria en Informatica
30,VIII - BIO-BIO,20,2019,6.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,2,Ingenieria en Informatica
31,VIII - BIO-BIO,30,2010,5.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,2,Ingenieria en Informatica
32,VIII - BIO-BIO,26,2012,5.8,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2022,2,Ingenieria en Informatica
33,VIII - BIO-BIO,24,2017,5.5,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
34,VIII - BIO-BIO,20,2019,6.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2023,1,Ingenieria en Informatica
35,VIII - BIO-BIO,20,2019,6.0,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2023,2,Ingenieria en Informatica
36,VIII - BIO-BIO,25,2015,5.3,Cientifico Humanista,Municipal,Femenino,2022,1444707,No desertor,2023,1,Analista Programador Computacional
37,VIII - BIO-BIO,25,2015,5.3,Cientifico Humanista,Municipal,Femenino,2022,1444707,No desertor,2023,2,Analista Programador Computacional
38,RM - METROPOLITANA,21,2020,5.2,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
39,VIII - BIO-BIO,19,2022,5.0,Cientifico Humanista,Municipal,Femenino,2023,1446214,No desertor,2023,1,Ingenieria en Conectividad y Redes
40,VIII - BIO-BIO,23,2011,5.6,Cientifico Humanista,Municipal,Femenino,2015,1446102,No desertor,2021,1,Ingenieria en Informatica
41,VIII - BIO-BIO,23,2011,5.6,Cientifico Humanista,Municipal,Femenino,2015,1446102,No desertor,2021,2,Ingenieria en Informatica
42,VIII - BIO-BIO,19,2017,5.4,Cientifico Humanista,Municipal,Femenino,2018,1446103,No desertor,2021,1,Ingenieria en Informatica
43,VIII - BIO-BIO,19,2017,5.4,Cientifico Humanista,Municipal,Femenino,2018,1446103,No desertor,2021,2,Ingenieria en Informatica
44,VIII - BIO-BIO,19,2017,5.4,Cientifico Humanista,Municipal,Femenino,2018,1446103,No desertor,2022,1,Ingenieria en Informatica
45,VIII - BIO-BIO,18,2019,5.8,Cientifico Humanista,Municipal,Femenino,2020,1446214,No desertor,2023,1,Ingenieria en Conectividad y Redes
46,VIII - BIO-BIO,18,2019,5.8,Cientifico Humanista,Municipal,Femenino,2020,1446214,No desertor,2023,2,Ingenieria en Conectividad y Redes
47,VIII - BIO-BIO,20,2021,6.4,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
48,VIII - BIO-BIO,20,2021,6.4,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
49,VIII - BIO-BIO,21,2021,5.9,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
50,VIII - BIO-BIO,21,2021,5.9,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
51,VIII - BIO-BIO,20,2016,5.2,Cientifico Humanista,Municipal,Femenino,2018,1446103,No desertor,2023,1,Ingenieria en Informatica
52,VIII - BIO-BIO,20,2016,5.2,Cientifico Humanista,Municipal,Femenino,2018,1446103,No desertor,2023,2,Ingenieria en Informatica
53,XVI - DE ÑUBLE,24,2017,6.4,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
54,XVI - DE ÑUBLE,24,2017,6.4,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
55,VIII - BIO-BIO,19,2016,5.6,Cientifico Humanista,Municipal,Femenino,2017,1446202,No desertor,2021,1,Ingenieria en Conectividad y Redes
56,VIII - BIO-BIO,19,2016,5.6,Cientifico Humanista,Municipal,Femenino,2017,1446202,No desertor,2021,2,Ingenieria en Conectividad y Redes
57,VIII - BIO-BIO,33,2006,5.2,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
58,VIII - BIO-BIO,33,2006,5.2,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,2,Ingenieria en Informatica
59,VIII - BIO-BIO,33,2006,5.2,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2022,1,Ingenieria en Informatica
60,VIII - BIO-BIO,20,2020,5.4,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
61,VIII - BIO-BIO,20,2020,5.4,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
62,VIII - BIO-BIO,21,2017,5.3,Cientifico Humanista,Municipal,Femenino,2020,1446103,No desertor,2021,1,Ingenieria en Informatica
63,VIII - BIO-BIO,21,2017,5.3,Cientifico Humanista,Municipal,Femenino,2020,1446103,No desertor,2021,2,Ingenieria en Informatica
64,VIII - BIO-BIO,48,1986,5.0,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2021,1,Ingenieria en Informatica
65,VIII - BIO-BIO,23,2014,5.2,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2021,1,Ingenieria en Informatica
66,VIII - BIO-BIO,22,2014,5.6,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2021,1,Ingenieria en Informatica
67,VIII - BIO-BIO,48,1986,5.0,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2021,2,Ingenieria en Informatica
68,VIII - BIO-BIO,22,2014,5.6,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2021,2,Ingenieria en Informatica
69,VIII - BIO-BIO,22,2014,5.6,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2022,1,Ingenieria en Informatica
70,VIII - BIO-BIO,48,1986,5.0,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2022,1,Ingenieria en Informatica
71,VIII - BIO-BIO,22,2014,5.6,Cientifico Humanista,Municipal,Femenino,2019,1446103,No desertor,2022,2,Ingenieria en Informatica
72,VIII - BIO-BIO,48,1986,5.0,Cientifico Humanista,Municipal,Femenino,2020,1446114,No desertor,2022,2,Ingenieria en Informatica
73,VIII - BIO-BIO,25,2010,5.5,Cientifico Humanista,Municipal,Femenino,2018,1446202,No desertor,2021,1,Ingenieria en Conectividad y Redes
74,VIII - BIO-BIO,25,2010,5.5,Cientifico Humanista,Municipal,Femenino,2018,1446202,No desertor,2021,2,Ingenieria en Conectividad y Redes
75,VIII - BIO-BIO,22,2017,5.4,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
76,VIII - BIO-BIO,22,2017,5.2,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
77,VIII - BIO-BIO,22,2017,5.2,Cientifico Humanista,Municipal,Femenino,2021,1446114,No desertor,2021,2,Ingenieria en Informatica
78,VIII - BIO-BIO,21,2019,5.5,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
79,VIII - BIO-BIO,21,2019,5.9,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
80,VIII - BIO-BIO,20,2020,5.3,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
81,VIII - BIO-BIO,21,2019,5.9,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
82,VIII - BIO-BIO,21,2019,5.5,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
83,VIII - BIO-BIO,20,2020,5.3,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
84,VIII - BIO-BIO,19,2021,6.3,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
85,VIII - BIO-BIO,24,2017,5.4,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
86,VIII - BIO-BIO,21,2019,5.9,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
87,VIII - BIO-BIO,21,2019,5.5,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
88,VIII - BIO-BIO,19,2021,6.3,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
89,VIII - BIO-BIO,24,2017,5.4,Cientifico Humanista,Municipal,Femenino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
90,VIII - BIO-BIO,21,2019,5.5,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
91,VIII - BIO-BIO,21,2019,5.9,Cientifico Humanista,Municipal,Femenino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
92,IX - LA ARAUCANIA,19,2022,5.8,Tecnico Profesional,Municipal,Femenino,2023,1444718,No desertor,2023,1,Analista Programador Computacional
93,IX - LA ARAUCANIA,19,2022,5.8,Tecnico Profesional,Municipal,Femenino,2023,1444718,No desertor,2023,2,Analista Programador Computacional
94,VIII - BIO-BIO,23,2017,5.9,Tecnico Profesional,Municipal,Femenino,2023,1444718,No desertor,2023,1,Analista Programador Computacional
95,VIII - BIO-BIO,23,2017,5.9,Tecnico Profesional,Municipal,Femenino,2023,1444718,No desertor,2023,2,Analista Programador Computacional
96,VIII - BIO-BIO,19,2016,4.8,Tecnico Profesional,Municipal,Femenino,2018,1444707,No desertor,2021,2,Analista Programador Computacional
97,VIII - BIO-BIO,32,2004,5.6,Tecnico Profesional,Municipal,Femenino,2019,1446213,No desertor,2021,1,Ingenieria en Conectividad y Redes
98,VIII - BIO-BIO,32,2004,5.6,Tecnico Profesional,Municipal,Femenino,2019,1446213,No desertor,2021,2,Ingenieria en Conectividad y Redes
99,VIII - BIO-BIO,32,2004,5.6,Tecnico Profesional,Municipal,Femenino,2019,1446213,No desertor,2022,1,Ingenieria en Conectividad y Redes
100,VIII - BIO-BIO,30,2009,5.5,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
101,VIII - BIO-BIO,30,2009,5.5,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
102,VIII - BIO-BIO,21,2018,6.0,Tecnico Profesional,Municipal,Femenino,2020,1446213,No desertor,2021,1,Ingenieria en Conectividad y Redes
103,VIII - BIO-BIO,21,2018,6.0,Tecnico Profesional,Municipal,Femenino,2020,1446213,No desertor,2022,1,Ingenieria en Conectividad y Redes
104,VIII - BIO-BIO,21,2018,6.0,Tecnico Profesional,Municipal,Femenino,2020,1446213,No desertor,2022,2,Ingenieria en Conectividad y Redes
105,VIII - BIO-BIO,20,2021,5.9,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
106,VIII - BIO-BIO,21,2020,5.6,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
107,VIII - BIO-BIO,21,2020,5.6,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
108,VIII - BIO-BIO,19,2020,5.9,Tecnico Profesional,Municipal,Femenino,2021,1446214,No desertor,2021,1,Ingenieria en Conectividad y Redes
109,VIII - BIO-BIO,19,2020,5.9,Tecnico Profesional,Municipal,Femenino,2021,1446214,No desertor,2021,2,Ingenieria en Conectividad y Redes
110,VIII - BIO-BIO,19,2020,5.9,Tecnico Profesional,Municipal,Femenino,2021,1446214,No desertor,2022,1,Ingenieria en Conectividad y Redes
111,VIII - BIO-BIO,19,2020,5.9,Tecnico Profesional,Municipal,Femenino,2021,1446214,No desertor,2022,2,Ingenieria en Conectividad y Redes
112,VIII - BIO-BIO,20,2017,5.6,Tecnico Profesional,Municipal,Femenino,2020,1444707,No desertor,2021,1,Analista Programador Computacional
113,VIII - BIO-BIO,25,2015,5.3,Tecnico Profesional,Municipal,Femenino,2022,1444707,No desertor,2022,2,Analista Programador Computacional
114,VIII - BIO-BIO,22,2015,5.3,Tecnico Profesional,Municipal,Femenino,2019,1446103,No desertor,2021,1,Ingenieria en Informatica
115,VIII - BIO-BIO,22,2015,5.3,Tecnico Profesional,Municipal,Femenino,2019,1446103,No desertor,2021,2,Ingenieria en Informatica
116,VIII - BIO-BIO,22,2015,5.3,Tecnico Profesional,Municipal,Femenino,2019,1446103,No desertor,2022,1,Ingenieria en Informatica
117,VIII - BIO-BIO,18,2019,5.8,Tecnico Profesional,Municipal,Femenino,2020,1446214,No desertor,2021,1,Ingenieria en Conectividad y Redes
118,VIII - BIO-BIO,18,2019,5.8,Tecnico Profesional,Municipal,Femenino,2020,1446214,No desertor,2021,2,Ingenieria en Conectividad y Redes
119,VIII - BIO-BIO,18,2019,5.8,Tecnico Profesional,Municipal,Femenino,2020,1446214,No desertor,2022,1,Ingenieria en Conectividad y Redes
120,VIII - BIO-BIO,18,2019,5.8,Tecnico Profesional,Municipal,Femenino,2020,1446214,No desertor,2022,2,Ingenieria en Conectividad y Redes
121,VIII - BIO-BIO,23,2017,6.2,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
122,VIII - BIO-BIO,20,2016,5.2,Tecnico Profesional,Municipal,Femenino,2018,1446103,No desertor,2021,1,Ingenieria en Informatica
123,VIII - BIO-BIO,20,2016,5.2,Tecnico Profesional,Municipal,Femenino,2018,1446103,No desertor,2021,2,Ingenieria en Informatica
124,VIII - BIO-BIO,20,2016,5.2,Tecnico Profesional,Municipal,Femenino,2018,1446103,No desertor,2022,1,Ingenieria en Informatica
125,VIII - BIO-BIO,20,2016,5.2,Tecnico Profesional,Municipal,Femenino,2018,1446103,No desertor,2022,2,Ingenieria en Informatica
126,VIII - BIO-BIO,33,2007,4.9,Tecnico Profesional,Municipal,Femenino,2020,1444718,No desertor,2021,1,Analista Programador Computacional
127,VIII - BIO-BIO,23,2017,5.4,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
128,VIII - BIO-BIO,23,2017,5.4,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
129,VIII - BIO-BIO,23,2017,5.4,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
130,VIII - BIO-BIO,23,2017,5.4,Tecnico Profesional,Municipal,Femenino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
131,VIII - BIO-BIO,20,2015,5.2,Tecnico Profesional,Municipal,Femenino,2017,1446202,Suspensión pre-matricula,2021,1,Ingenieria en Conectividad y Redes
132,VIII - BIO-BIO,20,2015,5.2,Tecnico Profesional,Municipal,Femenino,2017,1446202,Suspensión pre-matricula,2021,2,Ingenieria en Conectividad y Redes
133,IX - LA ARAUCANIA,21,2020,5.2,Cientifico Humanista,Municipal,Masculino,2021,1446114,No desertor,2021,1,Ingenieria en Informatica
134,IX - LA ARAUCANIA,19,2019,5.7,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2021,1,Ingenieria en Informatica
135,IX - LA ARAUCANIA,21,2020,5.2,Cientifico Humanista,Municipal,Masculino,2021,1446114,No desertor,2021,2,Ingenieria en Informatica
136,IX - LA ARAUCANIA,19,2019,5.7,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2021,2,Ingenieria en Informatica
137,IX - LA ARAUCANIA,19,2019,5.7,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2022,1,Ingenieria en Informatica
138,IX - LA ARAUCANIA,19,2019,5.7,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2022,2,Ingenieria en Informatica
139,IX - LA ARAUCANIA,19,2019,5.7,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2023,1,Ingenieria en Informatica
140,IX - LA ARAUCANIA,19,2019,5.7,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2023,2,Ingenieria en Informatica
141,VIII - BIO-BIO,21,2015,5.3,Cientifico Humanista,Municipal,Masculino,2018,1446202,No desertor,2023,1,Ingenieria en Conectividad y Redes
142,VIII - BIO-BIO,24,2016,5.2,Cientifico Humanista,Municipal,Masculino,2023,1446214,No desertor,2023,1,Ingenieria en Conectividad y Redes
143,VIII - BIO-BIO,19,2022,5.0,Cientifico Humanista,Municipal,Masculino,2023,1444718,No desertor,2023,1,Analista Programador Computacional
144,VIII - BIO-BIO,20,2019,5.3,Cientifico Humanista,Municipal,Masculino,2021,1444718,No desertor,2023,1,Analista Programador Computacional
145,VIII - BIO-BIO,19,2022,5.0,Cientifico Humanista,Municipal,Masculino,2023,1444718,No desertor,2023,2,Analista Programador Computacional
146,VIII - BIO-BIO,19,2021,5.3,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
147,VIII - BIO-BIO,20,2022,6.1,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
148,VIII - BIO-BIO,19,2022,5.5,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
149,VIII - BIO-BIO,19,2022,5.1,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
150,VIII - BIO-BIO,22,2018,5.6,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
151,VIII - BIO-BIO,19,2018,5.6,Cientifico Humanista,Municipal,Masculino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
152,VIII - BIO-BIO,19,2022,5.5,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
153,VIII - BIO-BIO,19,2021,5.3,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
154,VIII - BIO-BIO,22,2018,5.6,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
155,VIII - BIO-BIO,19,2018,5.6,Cientifico Humanista,Municipal,Masculino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
156,VIII - BIO-BIO,28,2010,5.5,Cientifico Humanista,Municipal,Masculino,2020,1446103,No desertor,2021,1,Ingenieria en Informatica
157,VIII - BIO-BIO,28,2010,5.5,Cientifico Humanista,Municipal,Masculino,2020,1446103,No desertor,2021,2,Ingenieria en Informatica
158,VIII - BIO-BIO,28,2010,5.5,Cientifico Humanista,Municipal,Masculino,2020,1446103,No desertor,2022,1,Ingenieria en Informatica
159,VIII - BIO-BIO,28,2010,5.5,Cientifico Humanista,Municipal,Masculino,2020,1446103,No desertor,2022,2,Ingenieria en Informatica
160,VIII - BIO-BIO,24,2013,5.9,Cientifico Humanista,Municipal,Masculino,2020,1446214,No desertor,2021,1,Ingenieria en Conectividad y Redes
161,VIII - BIO-BIO,23,2014,5.5,Cientifico Humanista,Municipal,Masculino,2019,1446213,No desertor,2021,1,Ingenieria en Conectividad y Redes
162,VIII - BIO-BIO,24,2013,5.9,Cientifico Humanista,Municipal,Masculino,2020,1446214,No desertor,2021,2,Ingenieria en Conectividad y Redes
163,VIII - BIO-BIO,24,2013,5.9,Cientifico Humanista,Municipal,Masculino,2020,1446214,No desertor,2022,1,Ingenieria en Conectividad y Redes
164,VIII - BIO-BIO,24,2013,5.9,Cientifico Humanista,Municipal,Masculino,2020,1446214,No desertor,2022,2,Ingenieria en Conectividad y Redes
165,VIII - BIO-BIO,24,2013,5.9,Cientifico Humanista,Municipal,Masculino,2020,1446214,No desertor,2023,1,Ingenieria en Conectividad y Redes
166,VIII - BIO-BIO,24,2013,5.9,Cientifico Humanista,Municipal,Masculino,2020,1446214,No desertor,2023,2,Ingenieria en Conectividad y Redes
167,VIII - BIO-BIO,21,2017,5.8,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2021,1,Ingenieria en Informatica
168,VIII - BIO-BIO,22,2014,5.7,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2021,1,Ingenieria en Informatica
169,VIII - BIO-BIO,19,2018,5.5,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2021,1,Ingenieria en Informatica
170,VIII - BIO-BIO,21,2017,5.8,Cientifico Humanista,Municipal,Masculino,2020,1446114,No desertor,2021,2,Ingenieria en Informatica
171,VIII - BIO-BIO,22,2014,5.7,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2021,2,Ingenieria en Informatica
172,VIII - BIO-BIO,19,2018,5.5,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2021,2,Ingenieria en Informatica
173,VIII - BIO-BIO,19,2021,6.5,Cientifico Humanista,Municipal,Masculino,2022,1446114,No desertor,2022,1,Ingenieria en Informatica
174,VIII - BIO-BIO,19,2018,5.5,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2022,1,Ingenieria en Informatica
175,VIII - BIO-BIO,22,2014,5.7,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2022,1,Ingenieria en Informatica
176,VIII - BIO-BIO,19,2021,6.5,Cientifico Humanista,Municipal,Masculino,2022,1446114,No desertor,2022,2,Ingenieria en Informatica
177,VIII - BIO-BIO,19,2018,5.5,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2022,2,Ingenieria en Informatica
178,VIII - BIO-BIO,22,2014,5.7,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2022,2,Ingenieria en Informatica
179,VIII - BIO-BIO,19,2021,6.5,Cientifico Humanista,Municipal,Masculino,2022,1446114,No desertor,2023,1,Ingenieria en Informatica
180,VIII - BIO-BIO,19,2022,6.4,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
181,VIII - BIO-BIO,19,2022,6.4,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,1,Ingenieria en Informatica
182,VIII - BIO-BIO,22,2014,5.7,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2023,1,Ingenieria en Informatica
183,VIII - BIO-BIO,19,2022,6.4,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
184,VIII - BIO-BIO,19,2021,6.5,Cientifico Humanista,Municipal,Masculino,2022,1446114,No desertor,2023,2,Ingenieria en Informatica
185,VIII - BIO-BIO,19,2022,6.4,Cientifico Humanista,Municipal,Masculino,2023,1446114,No desertor,2023,2,Ingenieria en Informatica
186,VIII - BIO-BIO,22,2014,5.7,Cientifico Humanista,Municipal,Masculino,2019,1446103,No desertor,2023,2,Ingenieria en Informatica
187,VIII - BIO-BIO,20,2020,5.9,Cientifico Humanista,Municipal,Masculino,2022,1444718,No desertor,2022,1,Analista Programador Computacional
188,VIII - BIO-BIO,20,2020,5.9,Cientifico Humanista,Municipal,Masculino,2022,1444718,No desertor,2022,2,Analista Programador Computacional
